i,type,avg_length,avg_reward,avg_vc,avg_js_dist
2,mdft,7.32,-3.67,0.15,[0.22940882]
2,mdft,5.615,-1.28,0.14,[0.26320712]
2,mdft,16.055,-25.885,0.435,[0.20357423]
2,mdft,4.59,4.45,0.04,[0.40074858]
2,mdft,7.05,-52.68,1.135,[0.22369796]
2,mdft,5.785,-150.015,3.145,[0.44803541]
2,mdft,7.715,-14.605,0.365,[0.25767454]
2,mdft,4.675,-18.58,0.505,[0.40229805]
2,mdft,6.695,-2.8,0.145,[0.31841403]
2,mdft,4.58,0.515,0.12,[0.33796586]
2,mdft,5.52,-1.38,0.14,[0.32612635]
2,mdft,4.355,0.75,0.12,[0.45506767]
2,mdft,3.34,-0.985,0.18,[0.25117376]
2,mdft,8.8,-4.425,0.135,[0.44001474]
2,mdft,3.6,-4.605,0.245,[0.23000588]
2,mdft,4.605,2.475,0.08,[0.39762162]
2,wrl,4.53,0.335,0.125,[0.4277068]
2,wrl,8.09,-11.315,0.29,[0.31062517]
2,wrl,4.545,-2.365,0.18,[0.28338256]
2,wrl,8.24,-16.125,0.385,[0.49318886]
2,wrl,10.37,-47.575,1.075,[0.71888253]
2,wrl,8.885,-28.095,0.615,[0.28297595]
2,wrl,4.615,-3.0,0.19,[0.41231902]
2,wrl,5.695,-4.495,0.2,[0.38652198]
2,wrl,4.785,-9.995,0.33,[0.32303309]
2,wrl,6.775,-4.885,0.185,[0.46819235]
2,wrl,5.615,-12.08,0.44,[0.37287418]
2,wrl,4.655,-4.445,0.265,[0.32355497]
2,wrl,9.13,-13.09,0.305,[0.2610784]
2,wrl,6.995,-11.485,0.415,[0.43597812]
2,wrl,7.955,-3.815,0.14,[0.27360472]
2,wrl,5.58,1.485,0.08,[0.24353185]
